"","Site","total_days","min_start_date","Region","Latitude","Longitude"
"1","as01",71,2023-03-17,"Pacific Islands","-14.36565","-170.76308"
"2","ci01",1312,2018-10-31,"West Coast","34.043348","-120.080202"
"3","ci04",1327,2018-11-01,"West Coast","33.848534","-120.113567"
"4","fgb01",234,2023-05-04,"East Coast","28.1661","-94.2965"
"5","fk01",1153,2018-12-18,"East Coast","24.43149","-81.93027"
"6","fk05",633,2023-03-14,"East Coast","24.45778","-81.84337"
"7","fk06",126,2024-05-15,"East Coast","24.45296","-81.85752"
"8","fk07",243,2024-05-15,"East Coast","24.45032","-81.87824"
"9","gr01",1587,2018-12-13,"East Coast","31.39642","-80.8904"
"10","hi01",887,2018-11-29,"Pacific Islands","20.80614","-156.65531"
"11","hi03",892,2018-11-08,"Pacific Islands","21.28567","-157.59983"
"12","hi04",920,2018-11-24,"Pacific Islands","22.26347","-159.58638"
"13","hi08",322,2023-01-08,"Pacific Islands","20.07866","-155.87263"
"14","mb01",1351,2018-11-15,"West Coast","36.798","-121.976"
"15","mb02",1647,2018-11-15,"West Coast","36.648","-121.908"
"16","mb03",4257,2018-11-15,"West Coast","36.3703","-122.3148"
"17","nrs03",1931,2014-10-01,"West Coast","47.77","−125.52"
"18","nrs05",2212,2015-11-12,"West Coast","33.9","−119.58"
"19","nrs09",2701,2014-10-21,"East Coast","42.4","-70.13"
"20","nrs10",1453,2015-06-15,"Pacific Islands","-14.27","-170.72"
"21","nrs11",1433,2015-10-18,"West Coast","37.88081667","-123.4353"
"22","oc02",1348,2019-03-08,"West Coast","48.49033","-125.003737"
"23","pm01",892,2020-03-31,"Pacific Islands","22.66241","-161.04201"
"24","pm02",1080,2019-10-01,"Pacific Islands","23.75794","-166.33467"
"25","sb01",2202,2018-11-12,"East Coast","42.43855","-70.5458"
"26","sb03",1775,2018-11-12,"East Coast","42.25557","-70.1788"
